msg,label
"I have a few questions that I would like answers to 
(or opinions on) since I'm thinking about buying a LC-III:

Q1) When the PowerPC-based Macs are announced, what will
happen to the 680X0-based Macs?  

Q2) Is System 7 the 'last word' for 680X0-based Macs? 
Will we ever get REAL multi-tasking for the Mac?

Q3) Will there be a way for NuBUS/PDS-equipped Macs to add 
a PowerPC-on-a-board to their systems?

I'd hate to think that I'm going to put my $$ down
on a machine that in 6 months is now part of a
dead-end product line!

Thanks in advance,",comp.sys.mac.hardware
"
Riddle me this.  If a god(s) exist why on earth should we grovel?  Why on earth
should we give a damm at all?  What evidence do you have that if such a
creature(s) exist it deserves anything beyond mild admiration or sheer
hatred for what it/they have done in the past (whichever god(s) you care to
pick).  That is assuming any records of their actions are correct.

Religon offers a bliss bubble of self contained reality which is seperate
from the physical world.  Any belief system can leave you in such a state
and so can drugs.  God(s) are not a requirement.  Only if you remove such
useless tappestry can you build a set of morals to build a society upon.
It is that or keep on exterminating those who don't believe (or converting
them).
  - Eric

NEW VIRUSES:",sci.electronics
"1. Can low Voltage lights be controlled with an X10  module by putting it 
before the transformer? It seems to work, even the dimmer works. Not very 
reliable. Will it damage the module? Can it be done reliably?

2. I put a motion switch (Heath) to a low voltage light, it worked but now it is
broken, too much current? How can I get arround that? 
  
3. How can I increase the intensity of a light using the X10 PC computer
interface without having it go 100% on first and then down. I am doing
my own programing, not the X10 program.",alt.atheism
"

Oh, Bobby. You're priceless. Did I ever tell you that?

My policy with Bobby's posts, should anyone give a damn, is to flick
through the thread at high speed, searching for posts of Bobby's which
have generated a whole pile of followups, then go in and extract the
hilarious quote inevitably present for .sig purposes. Works for me.

For the guy who said he's just arrived, and asked whether Bobby's for real,
you betcha. Welcome to alt.atheism, and rest assured that it gets worse.
I have a few pearls of wisdom from Bobby which I reproduce below. Is anyone
(Keith?) keeping a big file of such stuff?

     ""In Allah's infinite wisdom, the universe was created from nothing,
        just by saying ""Be"", and it became. Therefore Allah exists.""
           --- Bobby Mozumder proving the existence of Allah, #1

     ""Wait. You just said that humans are rarely reasonable. Doesn't that
      contradict atheism, where everything is explained through logic and
      reason? This is THE contradiction in atheism that proves it false.""
           --- Bobby Mozumder proving the existence of Allah, #2

              ""Plus, to the believer, it would be contradictory
                    to the Quran for Allah not to exist.""
           --- Bobby Mozumder proving the existence of Allah, #3

and now

   ""One thing that relates is among Navy men that get tatoos that say ""Mom"",
    because of the love of their mom. It makes for more virile men. Compare
    that with how homos are raised.  Do a study and you will get my point.""
         -- Bobby Mozumder being Islamically Rigorous on alt.atheism

Mmmmm. Quality *and* quantity from the New Voice of Islam (pbuh).

Cheers

Simon",sci.electronics
"

Thanks for the enlightening post.  Is there a Technical Note on this?

The desktop machine I was referring to was actually not a Mac,
but rather, any of various workstations that use the
68030@25MHz, such as old Suns or old NeXTs.  I used to own a NeXT
68030 cube.   

But I will try rebooting without extensions to see what kind of
a speed difference I get with my powerbook Duo. I did notice an
extreme slowdown to unusability with a Mac Plus after
installing system 7 on it.  Why does the OS suck up so much CPU
power? 

Also, you're right--software does make a HUGE difference.  I
have the misfortune of using MS-Works on my Duo.  When editing
relatively small (40K) files, cut or copy takes several
seconds, often more than 6 seconds!!  This happens with power
cycling turned off.  As usual, MS software is maggot-infested
feces. 
I'm getting Nisus to replace it for my text editing.",comp.sys.mac.hardware
"You can try SGS L6217A, it can achieve 256 current level(microstep),
teere is a circuit in the SGS-THOMSON - "" Smart Power Applicatio
Manual"", order code for the manual is AMSMARTPOWERST/1

Best regards,",alt.atheism
"
First, it will not pass a National Electrical code inspection.
Secondly, The neutral wire is current carrying and the ground wire
shouldn't be, or only during a fault condition.

The reason the neutral and ground are tied together in the panel is the
tranformer on the power pole has a grounded center-tap secondary, with the
grounded center-tap the neutral.  This gives 120v to neutral(ground) from
each side of the transformer and 240v across the transformer.  So in effect
the neutral and ground should be at the same potential. 

------------------------------------------------------------------
Mark E. Kilpela              email mkilpela@mtu.edu
Michigan Technological University
School of Technology",alt.atheism
"
No.  Plug the printer in the printer port, and the modem in the modem
port. ;)",comp.sys.mac.hardware
"# #From the Santa Rosa (Cal.) Press-Democrat, April 15, 1993, p. B2:
# #
# #    Male sex survey: Gay activity low
# #
# #    A new natonal study on male sexual behavior, the most thorough
# #    examination of American men's sexual practices published since
# #    the Kinsey report more than four decades ago, shows about 2
# #    percent of the men surveyed had engaged in homosexual sex and
# #    1 percent considered themselves exclusively homosexual.
# #
# #    The figures on homosexuality in the study released Wednesday
# #    by the Alan Guttmacher Institute are significantly lower than
# #    the 10 percent figure that has been part of the conventional
# #    wisdom since it was published in the Kinsey report.
# 
# 1) So what?

Homosexuals lie about the 10% number to hide the disproportionate
involvement of homosexuals in child molestation.  They also lie
about ""10%"" to keep politicians scared.

# 2) It will be interesting to see the reaction when 2.5million queers
#    gather in Washington DC. After all if there are only 6million of
#    us then this is an event unprecidented in history...

But many of the people who will be marching aren't homosexuals, but
other members of the leftist agenda.

# #The article also contains numbers on the number of sexual partners.
# #The median number of sexual partners for all men 20-39 was 7.3.
# 
# Don't forget that 25% had 20 or more partners....

Not surprising.  Remember, that study includes homosexuals as well.

# #Compared to the table I have already posted from Masters, Johnson,
# #and Kolodny showing male homosexual partners, it is apparent that
# #homosexual men are dramatically more promiscuous than the general
# #male population.  
# 
# And what did this study show for number of sexual contacts for those
# who said they where homosexual? Or is that number to inconvient for
# you....

It wasn't published.

# #It's a shame that we don't have a breakdown for
# #straight men vs. gay/bi men -- that would show even more dramatically
# #how much more promiscuous gay/bi men are.
# 
# Fuck off

Typical homoseuxal response.


",rec.sport.baseball
"
My CD300 (external, just arrived) has 2-8 plus Cinderella & Game Demo.


--Pinghua",comp.sys.mac.hardware
"From article <pdb059-220493112512@kilimanjaro.jpl.nasa.gov>, by pdb059@ipl.jpl.nasa.gov (Paul Bartholomew):

#> A very well put together post. I disagree with several key points, but the
#> post is an excellent one with which to ""engage in discourse"":

I agree wholeheartedly.  Paul, you have handled this so well,
I think that you could write ballot materials.


No, don't stop!

#> Right to Equal Opportunity (lets call it REO) involves coercion in all cases
#> (by definition).


Good question.  It just depends.  How's that for an answer?  :-)
Seriously, I believe that it depends on wether or not you are
talking about a governmental employer or not.  In this case, I
believe that there should be absolutely no discrimination,
direct or indirect, period.  I feel this way not because it would
offend my moral sensibilities (which it of course would), but
because the government is a coercive entity which we cannot
escape.  It boggles my mind that in my lifetime, there were
""whites only"" drinking fountains in some parks, but no fountains
for others, yet the taxes garnished to support those fountains
certainly were not applied to ""whites only.""  In essence, we
cannot escape the coercive state.  Even Randy Weavers have to pay
property tax.  On the other hand, private employers are not a
monopoly, and their businesses should be run by them, and not by
the government, unless they elect to turn their affairs over to
that government.

#> Why? Says who? Why can mom & pop have FOA, but IBM be forced, and force is
#> the correct word here, to have REO?


But if the mom & pop store is affected by who they hire,
isn't IBM?  There is a slippery slope here.  In Santa Cruz
(where a number of loony anti-discrimination laws exist),
a guy sued a restaurant for not hiring him because he had
every imaginable kitchen utensil dangling from his earlobe,
and his tatoos were very distracting.

#> Suddenly, by arm waving, by magic, a landlord does not have FOA. And on
#> what basis does the FOA of the landlord ""disappear""?

#> It seems that vague terms like ""no contact with tenants"" suffice.


I have a lot of interaction (all positive) with my tenants,
so I guess that that isn't an issue.  But say I were to buy
a unit in another town, and have it managed by a third party.
Let's say that I have a real aversion to Christians because
of the stuff that they buy into hook line and sinker, and
because of the lunatic schmucks that they try to get elected.
I don't want any of those fish symbols hanging in the window
of a house that I own.  Should the government intervene?  If
I was Elie Weizel and the only rental applicant was Tom
Metzger, should I be forced to rent this distant unit to him?

#> The companies on the Fortune 500, for example, are all privately owned. They
#> can give you a list of all of their owners. They have no ""anonymous"",
#> unknown to them, owners.


Yes, and the neat thing about this is that unlike the mom &
pop store, you and I can buy shares in IBM, and have influence
over their decision making policies if we don't like them.

Anyway, Paul, keep up the good work.",rec.sport.baseball
"
Heck, I remember reading a quote of Luther as something like: ""Jews should
be shot like deer.""  And of course much Catholic doctrine for centuries was 
extremely anti-Semitic.


",sci.electronics
"terminated

It is very possible to connect another internal hard disk in any
macintosh if you can find the space to put it. I have a IIsi that came
with a Quantum 80 meg drive. When I ran into space problems, I slapped in
another 40 meg quantum that I had sitting on a shelf. Here is what I did.
 
First off, I was concerned about space. Since both drives are Quantum
quarter height drives, I finally decided that the logical place for them
was stacked one upon the other. Fine, they fit snugly. (I have not had a
problem with heat yet, and these drives have been running together for
over two months.

The next problem was connecting the drive. If you have a spare internal
hard disk power cable as I did, then half of your troubles are over. just
splice in the extra cable so that you get one square motherboard
connector and two hard disk power connectors. If you don't have a spare
cable, you will have to buy the wires and connectors which can be found
in any good electronics store for about $10. I would suggest properly
soldering/heatshrinking the connections to reduce the possibility of
shorts or bad connections.

Next, you need a ribbon cable connection. Again, I had a spare hard disk
ribbon cable, and I wanted to be careful in case this didn't word so what
I did was purchase a crimp on 50 pin cable connector that gave me another
male connector in the middle of my spare cable. The part cost $10 again,
and is easily attached with any good wood vice. The theory behind using a
crimp on connector is that if this doesn't work, my original cable is not
damaged, and I can go back to the original setup.

Having done all that, I couldn't be bothered to check the dev notes for
power consumption so I plugged it in and it works like a charm to this
day. 

In a mac II, everything should work the same. Be careful with the ID's of
the drive, and ensure that the terminating resistors on both drives are
intact. I did not try this without the terminating resistors but it
seemed logical that if I am splitting the SCSI chain, that the signal
should be terminated at all the ends.

Let me know if you have any more questions.",comp.sys.mac.hardware
"What is the value of an SE (HDFD) 4/20?

-David",comp.sys.mac.hardware
"I am interested in finding a supplier for an array of leds on material which is
transparent when nothing is lit.

I'm not quite sure what LCD screens are like away from the laptop but I would 
guess they are not too clear.

An ideal item would be an LED array for which each LED is about 1/2"" square.  
(Yes very course)  This is for distance viewing, but on a window.

Any pointers of suggestions would be much appreciated.

-Mark Battisti
mbattist@magnus.acs.ohio-state.edu",alt.atheism
"
No flames please, but I picked up this discussion a bit late and I 
am really curious...

What exactly *is* the $25 network?
Something to hack together N serial cables?
Something with N serial drivers?",alt.atheism
"I'm looking for recommendations for a laser printer.  It will
be used mostly for text by a single user.  It doesn't need to
be a postscript printer.  Any advice would be appreciated.
",comp.sys.mac.hardware
"

I notice you did not offer an alternative number.  Try this one on for
size..... by the year 2000, American taxpayers will have given Israel
one dollar for every star in the Milky Way Galaxy.",rec.sport.baseball
"
  The same Bill James? Why do you say that? It sounds like you're suggesting 
Bill James had something to do with overhyping the kid to death. Au contraire;
he was fairly critical of him after his ROY campaign, noting that he wasn't
all-world as a catcher or a hitter. He called him basically average when
everyone *else* in the media was predicting the next Johnny Bench or Roy
Campanella. 


  Which reports are those? 


  I like Hernandez a lot, but if Piazza can catch the ball, you've gotta play
him IMHO. He's a much better hitter, although Hernandez isn't a *bad* hitter.
Right now, it sounds like Piazza will catch most of the time and Hernandez
will be Candiotti's caddy since he can catch the knuckler. As long as they
play up to their abilities, the Dodgers could have a very good catching
tandem.  


  I think both are overrated defensively (see Nichols' Law of catcher
defense), but that's something that's difficult to prove or disprove from
your viewpoint or mine. About the only tangible thing we can look at is
opponent's SB%, and that's clouded by how well your pitchers hold runners.
Catchers ERA is a possibility, but it's subject to way too many biases. 

  As for them 'playing on a team that is not so much in need of another big
bat', I disagree here too. About the only chink in the Braves' armor is that
they're weak offensively at several positions (CF, C, 2B, SS if Belliard
plays, 1B unless Bream and Hunter form another super-platoon) and very weak 
defensively if Blauser plays. I'd like to see the Braves give at least one of
Mel Nieves, Javy Lopez or Chipper Jones a shot, but much like the talent-rich
Jays of recent years they'll be conservative and stick with what they have. 
I'm not saying that's wrong, just conservative. 
 ",talk.politics.misc
"During the local Rockies broadcast the other day Don Baylor
went out to bring in a relief pitcher and a graphic came up
on the screen that it was the ""so and so sponsored"" pitching 
change. I saw another game where the pinch hitter was sponsored.

At other times during the game Rockies announcer Duane Kuiper was
setting up the strategy that the defense might use with the expectation
that Charlie Jones would jump in and discuss the situation. But
what does Charlie do, he read's a beer advertisement and leaves
Duane hanging. Duane's strategy proved prophetic.

These examples happen over and over on radio and T.V. braodcasts
making them sometimes very boring to listen to.

I guess it's just a matter of time before a player sells his name
to  Budweiser, Nike, etc.

I don't think it will be long until we hear: ""Nike Budweiser drills
it deep to left field, Chevrolet goes back, back, it's gone! The Apple
Macintoshes (formerly the Boston Red Sox) are the 1998 World Champions!!!""

Back to work,

Anthony M. Jivoin
National Center for Atmospheric Research
RSF/ATD - FL1
P.O. Box 3000
Boulder, CO 80307",talk.politics.misc
"
I can't say for sure with the IIvx -> C650 upgrade, but I wondered the
same thing when I ordered my LC -> LC III upgrade.  Turns out the ""upgrade""
is actually an entire CPU minus any disk drives.  You pull the floppy and
hard drives out of the old one, stick them in the new one, and you've got
an LC III.

The IIvx -> C650 may be the same thing.

It might be something to look into for those people who are unhappy that
Apple only sells Macs pre-packaged with the drives.  Of course, the price
is quite a bit higher without the trade-in...",comp.sys.mac.hardware
"How about Brooks Robinson's last homerun ever?  #268 came on 4-19-77 at
Memorial Stadium with one out and two on in the bottom of the 10th inning.
Larry Harlow was due up, but Brooks pinch-hit a 3-2 pitch from Dave LaRoche
into the left field bleachers for a 6-5 win.",talk.politics.misc
"I have an addition to the FAQ regarding ""why are there no atheist
hospitals.""

If I recall correctly, Johns Hopkins was built to provide medical
services without the ""backing"" of a religious group...thus making it a
hospital ""dedicated to the glory of [weak] atheism.""

Might someone check up on this?
",sci.electronics
"
Battery powered devices like the PowerBook are sometimes more sensitive to 
serial port weirdness.  I had trouble with connecting my Mac Plus to an HP 95LX
handheld.  Everything else worked okay on that port, but not the HP. (it runs
on two penlite batteries).  It turned out that the plus (by accident or by 
design flaw?) was putting a 4 volt bias on the serial port that was doing 
weird things to the HP (which has only 3v dc!).  The HP worked fine when 
connected to the printer port.  

Does your PB screen get dim or anything when connected to the device?  Have you 
tried using the printer port?

Good luck. 

--jamie
",comp.sys.mac.hardware
each,comp.sys.mac.hardware
" [Most of tirade deleted .. I have an editor and know how to use it] 

  Either this is an example of *great* sarcasm or I'm really, really worried.
",talk.politics.misc
"
Mel Hall signed with a Japanese team.
",talk.politics.misc
"

This is vague, so I am posting it in case anyone else knows more.

I recall reading of a phonograph which used mechanical amplification.
Compressed air was squirted out of a valve which was controlled by the
pickup.  The result was noisy and distinctly lo-fi, but much louder
than a conventional phonograph.  It tended to wear the disks out
pretty quickly though.

Paul.",alt.atheism
"

Assuming 68HC11...
In expanded muxed mode, you *could* do it. Much easier if you get a DRAM
controller IC. The MMI 673102 could be used to implement this, or you
could use a counter and a huge multiplexer to provide row/column/refresh
address multiplexing. The thing with DRAMs is that they require wierd
timing, address multiplexing, and refresh.

Actually, if you wanted to use a 68008 IC, you could look at AN897, which
has a neat controller built in. There is also the 683xx, I think one
of those has the DRAM controller built in. This one is for the 6664
DRAM, however, the 41256 has only one more address line, adding only
another component or so. The 256k SIMMs are basically 8 or 9 41256
DRAM chips (or their equivalent in fewer packages).",alt.atheism
"Probably won't help.  I'd be willing to bet that _every_ manufacturer
used those little self-contained modules.  I think Sharp made them.
Radio Shack used to sell them for a few bucks (maybe they still do.)

The module had 3 leads:  power, ground and demodulated output.  It
contained the photo-detector, amplifier, integrator and demodulator
all in a tiny metal can.

If you want to buy one, try Radio Shack, or else a TV repair shop can
probably order one.  BTW - the carrier frequency is 40 KHz, and each
different TV/VCR/cable box/stereo manufacturer uses a unique pulse
scheme to perform each different function on their equipment.
",alt.atheism
"Rawley Eastwick
",talk.politics.misc
"
Consider special relativity.  It hasn't be proved, nor has it been
disproved.  No one has a proof one way or the other, but many people
are interested in it!
 
I've satisfied myself that nothing could indicate absolutely the
existence of God one way or the other.  The two possibilities
are supernaturalism and naturalism.  Of course no set of circumstances can
be inconsistent with supernaturalism, but similarly, no set of circumstances
can be inconsistent with naturalism.  In naturalism, any phenomenon that
could be described as God is considered part of the natural world, to
be studied as any other natural phenomenon (gravity, for instance).  
For example, if a loud ``godlike'' voice vociferously announced, ``I
am God, I exist, and I will prove it by reversing the force of gravity,''
and if then gravity did indeed reverse, a naturalist (probably a scientist)
would say, ``Boy, we sure didn't understand gravity as well as we
thought we did, and that loud voice is something new.  Perhaps we
didn't understand thunder as well as we thought we did either.''


I'm sure glad you don't know where I live, since you don't seem
to realize it is impossible for you to distinguish between voices
in your head, and God's voice.


You seem to have missed my point.  Even if Jim Jones and David Koresh
were not religious people, my point remains that faith and dogma
are dangerous, and religion encourages them.  Jim Jones and David Koresh
also encouraged them.  My point does not rely on Jim Jones and David
Koresh being religious.",sci.electronics
"

I bought mine at the MOW storefront.
Its not plastic, its woven material.

but I think you miss the point.
its not about the five bucks in your pocket, its about supporting the
march and helping to pay for all the printed materail and scehdulkes and
organisation and...

all leading up to the literal *birth* of Queer visibility in this country.

up to this point all our news coverage has been driven by events thatb
happen to us. 
this event is happening by our direct action.
of course the last MOW was the same thing but they ignored us.
I guess that was just labor pains.
perhaps they will ignore us again, in which case we will come in
even largeer numbers next time.

Lst night in DC there were so many queers out and about you could hardly get
in any place.
I suspect thatb over the next two days that will become exponentially
larger.

To my mind this is a physical bsuting down of the collective closet of
queer invisibility.

the five bucks is insignificant.

LUX ./. owen


",rec.sport.baseball
"

Could be better caching on the disk.
Could be faster coil for seeks.
Could be that the disk spins faster so data transfers faster.
Could be that data is packed tighter so it transfers faster.
Could be a faster SCSI command decoder in the drive.

Among other things...",comp.sys.mac.hardware
"PLease take these and use them.  Take advantage of me... I really
don't know what they are worth.

Qty 2  -  Canoga Perkins Fiber Optic Modems, Model 2250, RS-422
          Interface, appear new.  I have powered up but that's all,
          I have not used them and I cannot tell you whether they
          work or not.    
                                 Make Offer.........

Qty 1 -   ISC Datacom RF Modem, Model 1056-TX1-RX5-SM-120, Interface
          RS-449, Internal Fan, powers up fine but otherwise condition
          unknown, Phone # for the company is 408-747-0300.

                                 Make Offer ............

Qty 1 -   Motorola UDS  212 A/D  Modem, RS-232 interface appears to work
          but I have not and cannot check it.  

                                 Make Offer  .............

Thanks and please buy this stuff or it goes out the door",alt.atheism
"

Were.

In urban areas.",rec.sport.baseball
"

I don't think that it is ""obvious"" that ""lots"" of people are willing
to pay the price.  I'm sure someone out there in net-land has some
facts about trends in attendance regarding percentage of capacity
sold.  But even if the trends are relatively flat, you have to consider
what is happening on a team-by-team basis.

When the TV money dries up, franchises will be seeking to supplant the
lost revenues from alternative sources.  One of the best sources may
be ticket sales.

Example 1:	The Dodgers

	The Dodgers can count on a strong base of season ticket sales
	and *probably* believe that they have the ability to raise
	prices without hindering revenues.  I certainly think that is
	true.

Example 2:	The Padres

	They will be lucky to average 10,000 fans a game this year.
	If they raise prices, less.  If they want to increase their
	overall revenue base, the best thing they can do is put a
	winning team on the field.  But given that won't happen (it
	won't), they can probably make more money by lowering ticket
	prices and running frequent promotions.  Will they do that?
	I have no idea.  But they won't increase prices, because it
	won't work *for them*.




The only strange powers at work here are the forces of the market place.
Each team's market is somewhat different, and each owner is going to
be faced with a unique set of circumstances about how to deal with those
market forces.  As a buiness manager, I would never *want* to lower my
prices, but sometimes that strategy is necessary, and sometimes it works.
You have to consider everything if you want continued success.




--	The Beastmaster
",talk.politics.misc
"
I have the ARRL Handbook for the Radio AMateur, and I'm getting the
Solid STate Design for the Radio Amateur.",alt.atheism
" 
 
It was no criticism of Islam for a change, it was a criticism of the
arguments used. Namely, whenever people you identify as Muslims are
the victims of the attacks of others, they are used an argument for
the bad situation of Muslims. But whenever deeds by Muslim that victimize
others are named, they do not count as an argument because what these
people did was not done as a true Muslims. No mention is made how Muslims
are the cause of a bad situation of another party.",sci.electronics
": The willingness of true believers
: to die for their belief, be it in Jesus or Jim Jones, is
: well-documented, so martyrdom in and of itself says little.

It does say something about the depth of their belief.  Religion has
both deluded believers and con men.  The difference is often how far
they will follow their beliefs.

I have no first hand, or even second hand, knowledge of how the 
original apostles died.  If they began a myth in hopes of exploiting
it for profit, and followed that myth to the death, that would be
inconsistent.  Real con men would bail out when it was obvious it would 
lead to discomfort, pain and death.",sci.electronics
"I used to hate it when people posted messages like this, but now that I
am contemplating a purchase, I can see why they do.

So, has anyone heard of any upcoming (within the next 6 months)
advances in the Powerbook line?  Can we expect to see a PowerPC
PowerBook at some point in the future (I assume an 040 would take too
much power and generate too much heat for installation in a PowerBook)?",comp.sys.mac.hardware
"


Not any more the rules don't say that.  So that's a pretty dumb argument.

",talk.politics.misc
